wallet,stake_fixed,boost_fixed,
6OCMIKX2CRX4JIMKRTR7GJTYBX7ZCJRJGI4TQD32GU2Q7QNQM3ZGFTGY2A,147929,76818.45221,
HTCESSSDUU2JBBVPOS7EJ4GDHFXPUDK2TVDNTDZYKJOFLSJN7ORJQCTTKU,37500,19473.47686,
7SKWR25K5M4KSV5GEQSBZF3YDGJ6OFDTWIB5IYBOA6DLLJD2ESYYZS674Q,28993.33332,15056.02681,
LQSOZ532NBPMZ2HNGKWD3ETTMPUYFVFTXBP5CSXAVTELZMG2U7DS5LTKXA,16133.98979,8378.263378,
3XPAPVWA7WQKDQ2OGMJCHJ5RZA3K34O6XB7ZXHRHNHTVQ6UQC76URMZXVM,12071.66666,6268.728568,
HJUT4ONYI6X7RIIBNKW2J2FG5AVLG4VY2MNMYETN44T6PR6UMFJBAB2MTQ,12002.86633,6233.00106,
6L5BEX2PQIZDNHAGSMR54LZSCJNTMAVFUENMGMLUND2JID3SESS3II5IXI,11446.175,5943.915307,
MY55GYK2ADPZ63A3HV5SRLFZBYL4M7ZDWFT23EI22LMWTCI2EEKPL5UHUU,10714.28571,5563.85053,
JXTLNJBPBIAIUXGHL37MWFRICYCG2KZ74SMF7B2FCQFG57LS7FD2QFH56A,9521.30291,4944.34325,
UG3D6OQU577EQENQVIXTRE7OHBUJYTO77X4V77UJAQGJIWWUK4UXGHAQAM,9139.732419,4746.196473,
2F56TWDI37OB4ETLAICAALRFLUAVD67RGUD52VMO7XM5FIXJRYV7OLO66M,8333.33333,4327.4393,
2AR7CHVBPN2A4NIX3M44CSZX2YZ6AWVDHUWG7GFXYYCJMHO7JET47STIO4,7771.666667,4035.769893,
RVDFXLJIHGZUQ4GXMI7YTPRFTCC2WXWLZDQDHLMYULQ6SRLOV4XAXMJGRY,7655.257452,3975.319435,
T5NPCKOB7BJFZBXK3VYUJIJ6VWUUDKV3ZUJCJZUAOL7RB2TSNH4XVQLHHA,7218.333334,3748.427923,
MEME5QEUYPK6T3DVHAU6A45RYC4JHMU3U45OCCCWZJH47HVKGKW3PZP5AM,6500,3375.402655,
JSFO6DSF4BTN6ORPIAM2HVNCREPC5TRQOYQE4PNTXLOCR2F34PTEIBXGEI,6334.378283,3289.396504,
U3UJVOC54NNMVDHFZ7TTHRFCCCJH2FM4ZSCEZVUN6LJMCR2VZEYJSPYI34,5194.382479,2697.404986,
5MPYZCD3QVYPN7VOM5RMKTWVBZH6UKMXVEKGH4OIMDNAUBPQ5ONLK2HIDY,5044.768311,2619.711439,
WG5O5FW7CXP2NIX23YF4MUKK7VCXAQFLTCGR4J2OXZZV52VFQOLQJ3I3IM,5000.814001,2596.886286,
JTLHEQGZPJ5ZSSUVZLVPQ67ELIS7JGWF7FQLPOBPS3LRDFJOBWC62EZWUE,5000.332312,2596.636148,
P6TLGM3NSQRGQLX66WU4EBYSDYFUPFWKPKIA4YQTHNFQZC4CV6YXPAMEPM,4670.495318,2425.3542,
M73MP4VRB3NVR3VTL2EZPKF4F6NUVCCWAJPDAGS3OETOQ2DFGMFXPEVUSA,4446.986056,2309.287468,
DDPLJ6LMX7GXVVHU7DX7O2Z5PAFK22C2J2HF6JY2MYD7RRBPKX3E3IBMNI,4378.09824,2273.514527,
4NQ27UW5YM2WXM6OHQXSZ6SNS5O3SUIKJCBNXADLS7CZIUQ3CGRPJ3Q2EU,4366.718163,2267.604936,
2QMQHSZFCZ4MQXFPCYRJRLX3SNAQS6KSDIHQQY5V6MS2P6HF4VZOFHO5SQ,4082,2119.752867,
6ZEA2BNTJ2MSIYK6ETAQPTPTVFI33GZKS4Q4KFANBZ6BA7XQTMF7EMUASU,4070.54035,2113.801955,
SCYYWZFKO7KLFDJQAJVRHEF6BC7VG3ZEDIJ3WUKEP7AYPWFHIVN5LUUOUM,4053.813354,2105.115747,
QWKPBRQEBQHP6OWBRVDNRQO3TKFNA6KUVOEWA3LPA3EXKKU5U4W5WZ4B44,4042.131782,2099.049592,
GB26ATG6O3YKU4ZMF33N4SYNWIO6ZTRRY7J6RNHNDRERHQ3I7KSYCBSMNE,4035.495269,2095.603299,
RNIP7XCDKKE5LFM6SBORGJUMS6BI4HIVBHAOP5JX3KLNMGGFJBGGFU7CXM,4030.108858,2092.806175,
XGT3TEA4PYE44TMNLB5VQLBCUD2XYQDMOTTQ5ADE7A33XKU4DFME4KADGM,4024.289507,2089.784229,
4MMC5Y7F4NHON3KACD62PWRC7LBPSSUEYWVAHJTBHO5IZ2CMZK3ZFM4VZY,4017.333331,2086.171937,
SQZ4JINKPFGYP2UZQIB4ZJE7KRLBTOA3NNC3HHA76PHNGGDK43TNB66RAA,4015.178045,2085.052713,
WDT32RC2NKNBWLR47UUMGEBLYY4B6UVY3QUBE2PJF2UQLTAI4ORRJDM56Q,4009.364122,2082.033585,
DZXL3ERE5LAGQNMT4QLPDNCOD7WHCSY3MBG3HHX42RKJRNGQVMPFYQ4JUI,4006.584153,2080.589967,
7XKG4O2I3QYUAOT5CPMWZWXGCPFLWUWVMNZ3NTYIFHW2JAHFQHQR6SHNQM,4001,2077.690157,
DLKHM6ZMTYWDQM5FHBEK577BUUNH6MYTR6DE4NU4ZB7WDA422Y6KVMPPAM,4000.807916,2077.59041,
HI73LK3OZW272X5XFNC3BHV4KD7K4ODEG4A4TRC5SK57XXQ5W7OEQEE7BU,3542.023954,1839.34724,
T5YO7HNXY6KKVQKDRLY5IBGMWKCQQ3PFQPVOQCFXX65QWCH4YD7DZ36RLY,3512.27,1823.896228,
HQAIWPXHXUOGCDORCHHTRIJSSCZMPHESQGSPLUJ3FWN54UCVVNLYWH4O3M,2903.095237,1507.556211,
7SRO7LL7DKUIBRXMCBAW777BSBM7AIDXV2TIFIWWW52QCWHIQ4J7BHLDGE,2636.284666,1369.003425,
5IDCMP54CHZP3E5VG5GJTVWHHTA5CVANRZCPGM7FK6LV3IINL56SFVG2RQ,2548.791754,1323.568993,
UPQ33WUL4XXXTOEVNZ62R77CNM5TGAORSRXGKN6WC245ELEQZXIMB7NNM4,2501.666666,1299.097278,
MULEX5X35HF5BORNJ6QAUVFZG26BY4RYZQOM6C6LYNKJSSCUVL53M7A5YQ,2430,1261.8813,
7EO3FG5TMMISIJYWYFVZFWL7B4OESLDSCEHZEG24EZUHWY5NJRTDSUFHYY,2410.397463,1251.701846,
