wallet,stake_fixed,boost_fixed
7SKWR25K5M4KSV5GEQSBZF3YDGJ6OFDTWIB5IYBOA6DLLJD2ESYYZS674Q,28993.33332,22954.7507
LQSOZ532NBPMZ2HNGKWD3ETTMPUYFVFTXBP5CSXAVTELZMG2U7DS5LTKXA,16133.98979,12773.68522
3XPAPVWA7WQKDQ2OGMJCHJ5RZA3K34O6XB7ZXHRHNHTVQ6UQC76URMZXVM,12071.66666,9557.441899
HJUT4ONYI6X7RIIBNKW2J2FG5AVLG4VY2MNMYETN44T6PR6UMFJBAB2MTQ,12002.86633,9502.970953
JXTLNJBPBIAIUXGHL37MWFRICYCG2KZ74SMF7B2FCQFG57LS7FD2QFH56A,9521.30291,7538.254819
UG3D6OQU577EQENQVIXTRE7OHBUJYTO77X4V77UJAQGJIWWUK4UXGHAQAM,9139.732419,7236.155871
2F56TWDI37OB4ETLAICAALRFLUAVD67RGUD52VMO7XM5FIXJRYV7OLO66M,8333.33333,6597.709445
2AR7CHVBPN2A4NIX3M44CSZX2YZ6AWVDHUWG7GFXYYCJMHO7JET47STIO4,7771.666667,6153.023831
RVDFXLJIHGZUQ4GXMI7YTPRFTCC2WXWLZDQDHLMYULQ6SRLOV4XAXMJGRY,7655.257452,6060.85973
T5NPCKOB7BJFZBXK3VYUJIJ6VWUUDKV3ZUJCJZUAOL7RB2TSNH4XVQLHHA,7218.333334,5714.935924
MEME5QEUYPK6T3DVHAU6A45RYC4JHMU3U45OCCCWZJH47HVKGKW3PZP5AM,6500,5146.213369
JSFO6DSF4BTN6ORPIAM2HVNCREPC5TRQOYQE4PNTXLOCR2F34PTEIBXGEI,6334.378283,5015.086493
U3UJVOC54NNMVDHFZ7TTHRFCCCJH2FM4ZSCEZVUN6LJMCR2VZEYJSPYI34,5194.382479,4112.523163
5MPYZCD3QVYPN7VOM5RMKTWVBZH6UKMXVEKGH4OIMDNAUBPQ5ONLK2HIDY,5044.768311,3994.069865
WG5O5FW7CXP2NIX23YF4MUKK7VCXAQFLTCGR4J2OXZZV52VFQOLQJ3I3IM,5000.814001,3959.270133
JTLHEQGZPJ5ZSSUVZLVPQ67ELIS7JGWF7FQLPOBPS3LRDFJOBWC62EZWUE,5000.332312,3958.888768
P6TLGM3NSQRGQLX66WU4EBYSDYFUPFWKPKIA4YQTHNFQZC4CV6YXPAMEPM,4670.495318,3697.74853
M73MP4VRB3NVR3VTL2EZPKF4F6NUVCCWAJPDAGS3OETOQ2DFGMFXPEVUSA,4446.986056,3520.79063
DDPLJ6LMX7GXVVHU7DX7O2Z5PAFK22C2J2HF6JY2MYD7RRBPKX3E3IBMNI,4378.09824,3466.250414
4NQ27UW5YM2WXM6OHQXSZ6SNS5O3SUIKJCBNXADLS7CZIUQ3CGRPJ3Q2EU,4366.718163,3457.240521
2QMQHSZFCZ4MQXFPCYRJRLX3SNAQS6KSDIHQQY5V6MS2P6HF4VZOFHO5SQ,4082,3231.821996
6ZEA2BNTJ2MSIYK6ETAQPTPTVFI33GZKS4Q4KFANBZ6BA7XQTMF7EMUASU,4070.54035,3222.749103
SCYYWZFKO7KLFDJQAJVRHEF6BC7VG3ZEDIJ3WUKEP7AYPWFHIVN5LUUOUM,4053.813354,3209.50592
QWKPBRQEBQHP6OWBRVDNRQO3TKFNA6KUVOEWA3LPA3EXKKU5U4W5WZ4B44,4042.131782,3200.257325
GB26ATG6O3YKU4ZMF33N4SYNWIO6ZTRRY7J6RNHNDRERHQ3I7KSYCBSMNE,4035.495269,3195.003031
RNIP7XCDKKE5LFM6SBORGJUMS6BI4HIVBHAOP5JX3KLNMGGFJBGGFU7CXM,4030.108858,3190.738474
XGT3TEA4PYE44TMNLB5VQLBCUD2XYQDMOTTQ5ADE7A33XKU4DFME4KADGM,4024.289507,3186.131148
4MMC5Y7F4NHON3KACD62PWRC7LBPSSUEYWVAHJTBHO5IZ2CMZK3ZFM4VZY,4017.333331,3180.623769
SQZ4JINKPFGYP2UZQIB4ZJE7KRLBTOA3NNC3HHA76PHNGGDK43TNB66RAA,4015.178045,3178.917374
WDT32RC2NKNBWLR47UUMGEBLYY4B6UVY3QUBE2PJF2UQLTAI4ORRJDM56Q,4009.364122,3174.314345
DZXL3ERE5LAGQNMT4QLPDNCOD7WHCSY3MBG3HHX42RKJRNGQVMPFYQ4JUI,4006.584153,3172.113374
7XKG4O2I3QYUAOT5CPMWZWXGCPFLWUWVMNZ3NTYIFHW2JAHFQHQR6SHNQM,4001,3167.69226
DLKHM6ZMTYWDQM5FHBEK577BUUNH6MYTR6DE4NU4ZB7WDA422Y6KVMPPAM,4000.807916,3167.540182
HI73LK3OZW272X5XFNC3BHV4KD7K4ODEG4A4TRC5SK57XXQ5W7OEQEE7BU,3542.023954,2804.309388
T5YO7HNXY6KKVQKDRLY5IBGMWKCQQ3PFQPVOQCFXX65QWCH4YD7DZ36RLY,3512.27,2780.752435
7SRO7LL7DKUIBRXMCBAW777BSBM7AIDXV2TIFIWWW52QCWHIQ4J7BHLDGE,2636.284666,2087.21283
5IDCMP54CHZP3E5VG5GJTVWHHTA5CVANRZCPGM7FK6LV3IINL56SFVG2RQ,2548.791754,2017.942492
UPQ33WUL4XXXTOEVNZ62R77CNM5TGAORSRXGKN6WC245ELEQZXIMB7NNM4,2501.666666,1980.632376
MULEX5X35HF5BORNJ6QAUVFZG26BY4RYZQOM6C6LYNKJSSCUVL53M7A5YQ,2430,1923.892075
7EO3FG5TMMISIJYWYFVZFWL7B4OESLDSCEHZEG24EZUHWY5NJRTDSUFHYY,2410.397463,1908.372254
MNGDLZE2EZEDEOAJ7FNLIS4XYJZSN7WZM72WNUYUMRVQSQBEJ3ISXZBHZE,2326.466411,1841.92193
AT3NKI276H7VVMYJ7WDMSYSIO2LCUNRTEMOJAMBOTKCNLJB6PPXFFLAN2U,2268.333332,1795.896511
COPG6MRKPPZXRA5QY4JSIDJ3225WZ7HNQYDJCKW6NYS4T444FAJJB4SGCY,2246.40977,1778.539075
53NYYCQXXWB53JTBVMP2YLJ7L2UCLYGEO3QJZLF5OX3KMN653C2EOTVB5Q,2221.666666,1758.949338
27MWPIUXVPP6ZPPGN6D3C7HCLRU4I4F2VJNKKPOJ5ES7LOHKKZ6SPWF4M4,2092.458071,1656.651646
VCE3M2GSAON73IWXTXZJFSSJT5ENIP5FGMVNUJUN2RIKJYO75HAF4G6ZNQ,2003.94249,1586.571636
NREFHQ7NGLTZU54WQIZJDLNQ4JTBT6MNNOQYXADLCVIUP3QEMT3CZ7GUFA,2000,1583.450267
GDPBCSCM6WQFBSG4SYUHF4SY74U62TMPMRPVLHU6ICXTG6GKPCVAW2DCIE,1754.802319,1389.321101
5VZ3AYULYY4ZCE7OMJG3I6UGJDAFHDP65F33NWCFDHU2KVYYHLBTKIS2RA,1665,1318.222348
ZV5I6XMQPE4D5S2Z54ME32RVR6EIU5BCTUD4NU6FE2BTAVU6N6OH4H7IKA,1665,1318.222348
O6PO62IGTA5ROIBCZIQL2ZQUVWA5D67NIFRZL2CX2DMR3CGNOUG23444ZM,1586.133035,1255.781389
VCTKDCNWTGSCZZODGNGHJRWBLG3ZRV5J6XWNRDFUXC5LF3QS4DTZWYNDJQ,1533.060988,1213.762916
TMJXQ6TJX6F4K4MHD3PHHDJC3LQ5QORQOSZWQKUTD4ZXWQ67DXOW6FI3RQ,1500.039158,1187.618703
XOUKHPKESIR47NQYBLW4J5RBXIMBEQ6Z6IPZ3GM5QDPP23AUL6I2C647RI,1455.263337,1152.16856
2MQJKB6CDFCTWXYMSFNDBJWFGIBAR2FD7VTQH2YBX2WWVWKBT2KKHRUECA,1436.018185,1136.931689
EXRCQMLJK6RSJ5PRS3PHRX6BQPGT5P5GCP2ZTOO6Q4QI32O3MKGQN6DYB4,1428.422835,1130.91826
LONZI7OWNNVLGH3RINJVIWNMGKIOVNFEVOADBX5POTDRKQFEF2BGK3ILXU,1351.449468,1069.976511
D5AKGZSJUZZS4DI744ITWGMWIPDE5QGTO2TAZXMTNILPJOG7Y7JNFY77W4,1268.138757,1004.017327
52LRI34PAIXVIJCHKENEGNNQIVAWD26QF2YHUYVW7VOXKCXJSXR5ONC5VI,1266.666666,1002.851835
FD44LVH2M64JQVT6ZPCZZIOX4KK2YY5IDXUM5KZAEPO6TIEPP4M6JX3FQ4,1242.344228,983.59515
IB7PDYX4TFOJ2K2WZAIYO3DLPPDSCWUNKG6FWAILFUCY7HI3GUJZBCYUAU,1194.192546,945.4722531
BFG3WWTVXAR5UYAH4YU2Z2BHNRME4ARDTBD5N37WMD2UT3OHROWI4QWC3A,1177.52762,932.2782124
P55D3UDAE74KYXB244G5H7UURERS6O6DPQB27KAU627G32TXRESX2TO4KE,1157.956654,916.7833867
VDSIMOHSVYGUDRO3XUYUB3LH4ABZDIXLBGZVCWGVDKIG6N3HVO6XM32UIA,1153.929595,913.5950629
3LUPKER4VES76ZLBNOERHV7GAG5EHRLEVCIFFHR2XQHRLWVRR2EOD5BQOM,1140.022637,902.5845747
2DX6TGMA3CT545BRVMBHQZEO2NRKBPV55B7WCT5ZBH5NY22367VPCMBKAQ,1120.434404,887.0760783
WUQC6USWJYXYQGJDVBS3X2LV6LTYA7CEMWQQAPSD5S76KDY2URH6TG243U,1119.57635,886.3967354
OLWKU7T4QQOSRJU5MV5K5PU5PUEMTKJJ546YTHNYRZIKC6E7VGNTAZQBUM,1117.21169,884.5245746
PPXAV3BEPN4J2RK3FPRBTXEIMKKXA2ELRUSYJYCN2CQK262FSQBD6SX354,1110.37253,879.1098397
UFBQLGRMGXSH2NPOU4OJSZNYFGPEAFI5SKIZB7QAU2QK3UO6QNW2L3W534,1110,878.8148984
PHONESEDWNAA2PAZNFRVVHTHX6ZRQVEKIA2LMTFQ4IB3O4Y7BLFWJPYUDI,1110,878.8148984
G2TWH3ZX4QZLRRQSCHFHZO6EZHSERNBVP6IXQUJHMY2IF4EGK5PH4PP3JI,1110,878.8148984
GQFEZ6TPQDGIXR7LM27D26R3DTLKLSOJSKT64C2ECJNJCDK2K2KQBOGPG4,1110,878.8148984
YAQP6TTIQW4OWOV52MT4HWWRNTKSZORGCDJWYJWYWGC3OQMAJ3F726OUNI,1110,878.8148984
P6UXRZFCJSZGAZDIT6XSEMNKO5RY35IVYCVKJCYZ7ZLZVOS5JT4K7KAN7Q,1110,878.8148984
JJ7WAHQDWLCHNKEZPLGKFF4Y4OLKYY2HNZH7GBBCZXZ3Y4LKVBSXM6RMR4,1109.273577,878.239771
2MYOYKJG2UICB455Y4LZM526X5TNOCPTOP54ASZ23ZMUWVVCZNAIXT4NEE,1100.799235,871.5304215
RBTV3N5Y7IDK26DE7NZKFOV6OJMK7DOGLWUEJEZJ6ZYSIPLOA5JYRLDUZU,1100.509805,871.3012725
RLTGYGSNQLHZDZYR54V5AFEOZK53V4XVBLVD5XLFQIC2G4QN3EVXERR2QM,1099.081722,870.1706233
N3GH3H7QPBHR4T66I5SFN32AHMFS43OQHEGVTEVTAQ3DKATORGLNL5EQQA,1097.429388,868.8624289
KS73UBE263ET2Z2AFDXYECK55GK56ACNSQ6UKEXWXVR3WLSVGEHDOE5QZI,1096.25855,867.935447
5GVT4VAYH2MD7HANEHTAKU4RMJ6LJRJQCITPNSVDZZ6DSZ4JP5QXWJQ35U,1092.605739,865.0434248
