Account;ESB stake;Too low stake;Round;Transaction ID
JTLHEQGZPJ5ZSSUVZLVPQ67ELIS7JGWF7FQLPOBPS3LRDFJOBWC62EZWUE;5000.332312;0.0;22172007;HIMHNVHV3BVNFYTE2YKAGZGN6VPNKAJ43P2PFZQDRJW5DQFOJEQA
4NQ27UW5YM2WXM6OHQXSZ6SNS5O3SUIKJCBNXADLS7CZIUQ3CGRPJ3Q2EU;4366.718163;4361.118163;22568505;ALYPRSXPP3MBH3D2NOV3PI7ARGQAGU2UUPWPI3Y3HUAR67LPC4OQ
6ZEA2BNTJ2MSIYK6ETAQPTPTVFI33GZKS4Q4KFANBZ6BA7XQTMF7EMUASU;4070.54035;0.0;21906380;OLERCU6VMJSLFXV4O2MA4HFPPV5WDBIP4E5445EUFZBQLI6MMJ4A
7XKG4O2I3QYUAOT5CPMWZWXGCPFLWUWVMNZ3NTYIFHW2JAHFQHQR6SHNQM;4001.0;61.0;22929750;4M2FDYLEWVK7ITHB5QTZGOZ57JZE7GWDMNKXFWOPI5KZCB4GCRTA
PPXAV3BEPN4J2RK3FPRBTXEIMKKXA2ELRUSYJYCN2CQK262FSQBD6SX354;1110.37253;503.37253;22501812;PGUQIMXYBJL3RR42RMJGKEMBN5TXPSLH4M7HGP37F2V4ICNF6GPQ
PFGJNZAQP2HPAGGG33RCRV4FL4WPRPG3PS4M33GXMGF24WD4DRS6J4RR6A;1005.214726;0.0;22891279;766WEERTNAQHN7USDMSPN372LGVYSY6UQCSSTJKAWSIGYA3YJK4Q
CZL3IDCJSTMDCUID6RDMCDAKOPAECWE4YR4BULQRV2J6NELRGUG77RSR5M;1001.160217;851.160217;21899868;5EXBECFMBNNJV6HTYUAQOAFNIHXYQWRLZWRWZLKGUWQU66URSQBQ
ZV2ARRFLRKYDITUMIFR5TVAUIEBUGJISGNO6ZYOU5RXUXZVWZICRPE4WUM;1000.0;0.0;22346768;OJGBBSSNZ2KXSZVVIHL3AR3KHRGKBCUPRM3D2DJ4TVJ2NBEQR4OA
PWH7IRFIIIDLO6HXF6DJUR5XLAIZIKJIRDQTAKPIXUJKQT4ZPTV5ROUT7Q;938.624961;0.0;21908263;JC7D2VEKBUAL54C3RBZWCPJAWKZWEEF34RTVUTLF4UF66ZKKUNPQ
PPCUEYOBLD47TBNOBDT7DUUHVWN2O5IRZO6A635XM3FHEOEPKBEWCWGQFI;900.999998;800.999998;22057980;OA3EB7RMG35G2FC5VW3NEUTAEHQRSP7DVQ72U6FLEG2UH27EEMEA
GNE42RVAR73U7PMRIV5CHRKFTLLFPGKJJTQRG7SUGDYMO2Y6XZGWMULYUA;697.196572;660.109894;22835263;TMA6S442IBOJGKPL2EITM6RUJQFVDYD5G4C7QVWWLNDJGT4M3S5A
HPDTLJ3U6T4W3VCWZKAERPGXDWVSJ2TXFW5HHMXZTED3VPLCC36JLHDYWQ;609.566858;0.0;22215033;TUASSOA3I7ZG4E2BDZ5QFI72ZIRKE63ZYAQRIARW6RDZG376UBNA
LEHPNJC5SSZS4EORWF6NTS5FACVNPVBSOE64HWQFM7OVIVOGCBVJJEYHFE;518.601206;88.601206;21992630;QGECQSRSQTLM32O3YCEIDUKZFTRDJTUYQYXQEJCHMMETX6DRGYNA
7FP7E77D6E3DITFNX5NU54TATZNYHACMDMWC6N4G7MXQIXNCTDTI2V2WGY;404.102442;305.102442;21888417;MMQO5JB5SZSW7JWWRHPU3YFHI5ZD2RRCXSI5POH7HUBRUUAYTPPA
QY52CU73DRUIEP5KB7Y3MD3SCFSCOVAEEPBAY5W5OT7L3H6GH5TI6HJYCE;400.0;0.0;22163061;CYVMB2F5FQDTBXGMZQ4TUVJRQ3GRQJ6CXBRS3I6SH2HZZ32CU72Q
63LQJY5ND6EMXKQBSBOG2QILYHOZVBOOBRLDQDJXINWH36EZXKPTCKXVP4;278.513669;200.513669;22447248;EO6GAUZNWOCKWNCSJKMW7H4REZ3O3IUNA4L7WQ6HGGS4IDEKL5DQ
2XHGNXIUBIXDU2ZVEOVB3KSVN7XS2Y3MLKO7PJGAUI7GBO3G5POTET7CC4;160.574027;68.044925;22672250;DFRYJVV66JHC34LL6WMAVRZSSX3R4XFB3NGFAYNQOULELCZFNIYA
UTDWGV7EAGQROKAB2CELDHAUDXWFD6YAKIGG2RIUXHI3P52AHJUNEL5FIE;113.169771;0.0;22554301;LWOKLT27DABTLR3UBXZCSJ34ALD6CYTDBGZRGMVMDSLFBLYPKZ7A
UYX5FNGGQJKT5UQOLPFI6F6Q3TXIJNPYMQOOZPZTJHGMQ7RDT4QRHEZNTU;102.360009;79.0;22621858;B6J77A5DNGGBET6OK3VNTMOUT6ULKIHBWSVMDQG47UVABAKLYAFA
P2SN4WNOJ3BDEXKFSENICQAKCLVKXWEZLKSUSAMTQM4ETPQG7UTVA6PLIE;100.0;0.0;22286543;2ALV6MG5WES2BUC56E4SX3R4DOUEFQBJ3HTD7HOWIHTVN3EDV4FQ
IYVKWKZT743PXWYFEX3NZR5QPT5DOETCX5NEPXAQ4CZ7JXZJVY35Q2ZGPY;699.959557;699.954557;21799273;RTDCJGETNCQDZG5LY47RNAEKMUK35JE2A25NMXM6C7DKEB2RVXEQ
XDE4WP3R5UARQUN4GG4XYV6YTOM6M3D4E22SKXQORHJJNBWOXQBYW66BOI;99.999999;0.0;22286572;QMKLBHCACDKPNL3GCDTVI26DBVWPEIMSJYGZUCVVEDEPCIN26CQA
E26KB2TTIFJCLUKKPLXCO7XFFYSQ774T65ZIJBTZJDXG5FCYOKF2ZLJVRE;69.016331;62.285515;22345749;GSILPN3PSBINF3JMTXK7SWAY5IBXI6RSEOSI7ABWP4RQWWCRWS4Q
DWYEZKDZUSGQ4G3EXGDKXTY3BSIQCX34HZOSFNLNQRC4JZEGPTRC6GZNJ4;60.696533;0.0;22702719;5ZISD2KRXVA57PEPREUOHXLDEKODRP4TIMKX4P34HVTOLLX2QQIQ
BRAHFD3Y7FCYD5VOFWAHI72PCA2IUGAU7NDXQIUZHOVM2NLYN7PYPJ3OQI;60.499998;0.0;22177450;ML3JVZK6O6G2J3Q6DBG22XF4LAYUWHNGZ5ZBCP7T54AX467G5KGA
